t,theta_history,m_history,v_history
0,-1.5,0.0,0.0
1,-1.5005,-0.0922286849011558,0.1502494010724108
2,-1.4994654196863932,-0.24427971254361855,0.39899508983486986
3,-1.4997871863683032,-0.4029172254927149,0.6602145201345955
4,-1.4986701080329012,-0.5610396392337237,0.9227765527523537
5,-1.4989453809469715,-0.7175133569329968,1.1845980618098269
6,-1.49779859462146,-0.8723605306485925,1.4459228416003436
7,-1.4980532475860509,-1.0254282707007274,1.706232692904774
8,-1.4968913111261446,-1.1768752456837468,1.9659911332863726
9,-1.4971343584806587,-1.3265683676090445,2.224715251577728
10,-1.4959632504925886,-1.4746712694646114,2.4828807364069485
11,-1.49619886564715,-1.621048064648758,2.7399966260051647
12,-1.4950216173730198,-1.7658597165872614,2.9965287239258056
13,-1.4952520725374963,-1.9089902750379193,3.2520559050999545
14,-1.4940704319897633,-2.0505904018903607,3.5070100477652173
15,-1.4942971012675663,-2.1905179401985926,3.760881500744685
16,-1.4931121685155977,-2.3289468837971006,4.014183285091034
17,-1.4933359466793796,-2.46575458558486,4.266471211662505
18,-1.4921484591988667,-2.601091040268455,4.518180345303551
19,-1.4923699617265713,-2.734819912145778,4.768821416342406
20,-1.491180438855749,-2.8671147948186153,5.018902740372654
21,-1.491400107235612,-2.9978383032227893,5.267941771644553
22,-1.4902089282491502,-3.1271641260858907,5.516449811305964
23,-1.4904270909985868,-3.2549280847464215,5.763843002783014
24,-1.4892345417818025,-3.38132423452323,6.010712779745999
25,-1.4894514498497573,-3.5062032487915866,6.256522988746242
26,-1.4882577515787994,-3.6297443200080224,6.501816019322343
27,-1.4884736010383093,-3.751780211811908,6.745989404506631
28,-1.4872789282447763,-3.8724327177759146,6.989389624682201
29,-1.4874938758536274,-3.9917580094510026,7.232259828764523
30,-1.4862983726797123,-4.110083848931279,7.475559498801969
31,-1.4865125423438255,-4.226317047664804,7.7153234148132075
32,-1.485316312625515,-4.3404588708984235,7.951757444550087
33,-1.485529819823271,-4.4553934645554865,8.195245247099793
34,-1.4843329774582787,-4.570005222593143,8.44126917208883
35,-1.4845458919241028,-4.679282935844846,8.67198060541355
36,-1.4833485169503904,-4.788200578215542,8.90492263054758
