t,theta_history,m_history,v_history
0,-1.5,0.0,0.0
1,-1.495,-0.09145366396593639,0.14773740992656895
2,-1.4946542432957997,-0.2418531225048486,0.39111456250681803
3,-1.487871928007748,-0.39825904198246964,0.6450703174361179
4,-1.486701331558537,-0.55257224706175,0.8952775240191733
5,-1.4794545530225494,-0.7043325195964375,1.1418051969510765
6,-1.4779874565460558,-0.8527725562663423,1.3824116003018545
7,-1.4705354565400701,-0.9984694282281298,1.618878303345395
8,-1.4689179319246906,-1.140833989002673,1.8493556366116477
9,-1.461351375953211,-1.2804773325526484,2.0756696172877485
10,-1.459643726514072,-1.4168280826783066,2.2960595246771773
11,-1.4520048813367459,-1.5505148577199737,2.5123723610386617
12,-1.4502379473902323,-1.6809928131254026,2.72297371697621
13,-1.4425500835739264,-1.8088071011871512,2.9294025217221864
14,-1.4407418932475529,-1.933465747636597,3.130226066172378
15,-1.4330193018826118,-2.0556138913592554,3.3272772077793102
16,-1.4311814066629247,-2.1746765179964074,3.518892825119221
17,-1.423433600314404,-2.291206775227595,3.7065530174905486
18,-1.4215739199066466,-2.40474537147521,3.8890422758482175
19,-1.4138076336194891,-2.515886348914779,4.067913474842749
20,-1.4119319350362194,-2.6240732952911245,4.241646616952946
21,-1.404152137157789,-2.7299126610926403,4.411856417304684
22,-1.4022647976018439,-2.832850703869036,4.577034421353692
23,-1.3944753576467561,-2.9335883530686444,4.739086635935551
24,-1.392579839056812,-3.0314915641195763,4.8962160215825525
25,-1.384783827337226,-3.127201125361486,5.050162814133392
26,-1.382882918147485,-3.220148182857685,5.199359914128396
27,-1.3750828847917211,-3.311037005430251,5.34574762905576
28,-1.373178945552122,-3.399517477837885,5.48839392525716
29,-1.3653770106004999,-3.4853949881046518,5.626119415130204
30,-1.3634717776173262,-3.5676436023509597,5.756842886419985
31,-1.3556701884419935,-3.6504795630204434,5.893459024441822
32,-1.353766279544173,-3.733766016191537,6.03363046281323
33,-1.345965433573381,-3.8067421077528665,6.144333296122344
34,-1.3440631337221458,-3.8741198749349786,6.243246173074493
35,-1.3362666274456567,-3.9542632885829927,6.383680026532195
36,-1.3343667862664363,-4.02904840437016,6.513096593530079
37,-1.3265754050746004,-4.093208512821438,6.614467674773732
38,-1.3246832717622017,-4.163673323088592,6.732543591116311
39,-1.3168949176893174,-4.224291280725614,6.826347709432977
40,-1.315009349476028,-4.283726090106659,6.9191309435616635
41,-1.3072276490269281,-4.347531992088907,7.0256725727351474
42,-1.3053466773880464,-4.401393399487644,7.111420658822045
43,-1.2975755786740064,-4.462961926931116,7.218183119269889
44,-1.2957008020344383,-4.516878503546616,7.309872347568717
45,-1.2879406512077345,-4.570890273272347,7.402965981580362
46,-1.2860758396456657,-4.624986543608514,7.497701776423929
47,-1.2783249104453447,-4.671723248198304,7.576728073920033
48,-1.2764729360454945,-4.723529502950431,7.6675004127112
49,-1.268730314905433,-4.765753652824502,7.738215230283296
50,-1.2668920510473374,-4.812776317612108,7.819688315780103
51,-1.2591586788347628,-4.8532031122808865,7.888225455758757
52,-1.2573334414300044,-4.894376815826117,7.959172051985968
53,-1.2496116815961569,-4.934228040827614,8.028801094753728
54,-1.2477984926120742,-4.9701478830353345,8.091591591711559
55,-1.2400909814790235,-5.009008013190692,8.161451413392147
56,-1.238289273684054,-5.040963835925225,8.219495839945855
57,-1.2305981941204773,-5.077742380163519,8.2874145601884
58,-1.2288082965232672,-5.106618804225589,8.341985417080306
59,-1.2211349315930013,-5.140617899472234,8.407129476039733
60,-1.219358061156789,-5.168180533218594,8.462030240760148
61,-1.2117026377670495,-5.197911442453504,8.519642094421332
62,-1.2099401261228093,-5.221761606444443,8.567623408141143
63,-1.2023032875105277,-5.249707007752517,8.628467907390581
64,-1.200557944445432,-5.278345461886408,8.691350048784349
65,-1.1929370772159704,-5.296514140552097,8.724881231613892
66,-1.1912094424008675,-5.311562694268801,8.7533968939014
67,-1.1836081030397805,-5.3381565316726665,8.82084703915897
68,-1.181899454712436,-5.367510237878103,8.893037375537054
69,-1.174313791168856,-5.37500286213499,8.91111125143199
70,-1.1726294336838088,-5.391502259016443,8.943613226433428
71,-1.1650591295444597,-5.407634543401537,8.982215406276474
72,-1.163393055690603,-5.419069116367393,9.013062225016427
73,-1.1558442048516206,-5.435420395369956,9.062017576203923
74,-1.1541996087681554,-5.454126564329376,9.114123120632003
75,-1.1466689958136218,-5.458915654808142,9.138135635414281
76,-1.145051077538261,-5.4750639430202455,9.179245827233736
77,-1.1375358763138421,-5.478703359972739,9.19601005018884
78,-1.1359413735780912,-5.484767500947757,9.216371457843039
79,-1.1284465990612105,-5.494602780417696,9.24781194969756
80,-1.1268710222506393,-5.496754029953355,9.26814863268609
81,-1.1194017003110686,-5.50646377539152,9.305699320674949
82,-1.1178468296030508,-5.511607684649811,9.336955922668354
83,-1.1104019454443461,-5.514611211096102,9.36436321691433
84,-1.108872463555431,-5.521370131344995,9.396944158647075
85,-1.1014486734598292,-5.519472032342625,9.413234450050448
86,-1.099945924250318,-5.522608637137294,9.436173186924595
87,-1.0925432622345332,-5.52121392882834,9.450572605736758
88,-1.0910643284411683,-5.518306352846599,9.463699874152363
89,-1.0836867405162343,-5.519824431266459,9.48329793124983
90,-1.0822282467113284,-5.51232403740741,9.492466829277191
91,-1.0748801264919816,-5.515299732205274,9.518430134807323
92,-1.0734416120778143,-5.5078522080445715,9.532417615075058
93,-1.066124013146179,-5.507777295051454,9.554876637091086
94,-1.0647076642014348,-5.499855855432191,9.569048297665251
95,-1.0574203727952434,-5.497372995586687,9.594807599178926
96,-1.0560304784559194,-5.496195882096459,9.62231850747114
97,-1.0487678635046653,-5.484577360048122,9.622055388543535
98,-1.0474061259835719,-5.472403159716411,9.621896639137251
99,-1.04017215530021,-5.469210937662123,9.651513890853733
100,-1.0388377949792074,-5.469754182195902,9.685079945103976
101,-1.0316266233839353,-5.4516351940520495,9.670367991217915
102,-1.0303225013417876,-5.434319174254255,9.656440966336305
103,-1.023140295546683,-5.432029693043884,9.67670286145115
104,-1.021856320812362,-5.417348811826544,9.685951601157296
105,-1.0147083603339773,-5.409802569321052,9.704015879857398
106,-1.0134509661112239,-5.400061492775488,9.719972482810892
107,-1.0063316938548394,-5.385802574543568,9.716754845849831
108,-1.0051013783653109,-5.366502424125857,9.70893388940561
109,-0.9980147042284127,-5.3600079872706985,9.722351168478532
110,-0.9968059157223093,-5.340259658371282,9.724716834589596
111,-0.9897562366893599,-5.331991541937189,9.747224413438097
112,-0.9885748987979269,-5.320993035456377,9.766800717383349
113,-0.9815552917063752,-5.302276018696055,9.771111585176733
114,-0.9804091849760265,-5.291952488637305,9.781731023235182
115,-0.973414219120707,-5.271277010934043,9.775142566113256
116,-0.9723012437623476,-5.254511608173449,9.771852319682594
117,-0.9653345104912575,-5.238817273360743,9.774423124014515
118,-0.964250288206877,-5.22030714722643,9.775018994903514
119,-0.9573155669874734,-5.204728009008552,9.784666085271205
120,-0.9562623069441116,-5.190237439598734,9.79497814087308
121,-0.9493568824873152,-5.16923787271859,9.796987870643987
122,-0.9483392774083247,-5.1559283855554305,9.804131855759636
123,-0.9414595612648468,-5.132679874504585,9.7976735235858
124,-0.9404771943092662,-5.1158254457314225,9.794552624395362
125,-0.9336240644714299,-5.095106637334877,9.784643234990545
126,-0.9326713008149751,-5.070927851740142,9.772869480521127
127,-0.9258521634909392,-5.056316911369697,9.778488156597762
128,-0.9249254621535614,-5.0347802930470245,9.778820547316055
129,-0.9181407082083526,-5.016501624605864,9.774773018522314
130,-0.9172414964694225,-4.988913365354336,9.765283643381089
131,-0.9104961995632824,-4.975504550374034,9.787201603431363
132,-0.9096268198717639,-4.963432503462774,9.809094793798764
133,-0.9029090623102239,-4.933815953288563,9.788722438660535
134,-0.9020775343580013,-4.9080485715073525,9.770366741713755
135,-0.8953924227734973,-4.891445191925747,9.778737542301627
136,-0.8945896507588911,-4.87333421236747,9.787543145646861
137,-0.8879355961920989,-4.848142404696698,9.781198382263737
138,-0.8871688002334909,-4.827978782964907,9.775671932742043
139,-0.8805432185815346,-4.804456290568481,9.76088052303352
140,-0.8798064320918547,-4.775218549544811,9.743859389675952
141,-0.8732187016121926,-4.760001961346778,9.754402170157508
142,-0.8725085115995396,-4.738620762964046,9.76394370880898
143,-0.8659563009644637,-4.714805847011229,9.769405073325846
144,-0.8652836999476882,-4.6987292109843795,9.776917593798666
145,-0.8587578459820772,-4.66930012348069,9.764210470784764
146,-0.8581245212436083,-4.6479046650189915,9.755107721331024
147,-0.8516268827810024,-4.623435429870277,9.749458308644936
148,-0.8510276751125383,-4.601897754693448,9.74725300330756
149,-0.8445608256175332,-4.577072980433141,9.748179712435185
150,-0.8439985000587752,-4.560048608545238,9.752541031862709
151,-0.8375576947285004,-4.530433102214575,9.74187944259247
152,-0.8370352873576863,-4.511327287592641,9.733936082140179
153,-0.8306191689291146,-4.483624445095918,9.714589315389203
154,-0.8301305691612598,-4.457229921989829,9.696549649673361
155,-0.8237466945208983,-4.436521107652576,9.688780125888695
156,-0.8232851780297497,-4.409033136020244,9.679508552773143
157,-0.8169382762518812,-4.3891721977986995,9.68025333146888
158,-0.8165054290045569,-4.36428551506514,9.68007015526805
159,-0.8101945709931878,-4.341571832446901,9.684754989092383
160,-0.8097960388858026,-4.322971345912784,9.688267576737335
161,-0.8035126607899669,-4.2939610855197445,9.671375740555515
162,-0.8031506338351136,-4.267231461828699,9.655208829238951
163,-0.7969004900265807,-4.246271073590476,9.65655508651756
164,-0.796568730587341,-4.226836449296982,9.657860145452457
165,-0.7903464218424232,-4.198553931874201,9.636376370367197
166,-0.7900484738674494,-4.167551827363035,9.615847057293644
167,-0.7838645619236198,-4.15080587751664,9.627888003958947
168,-0.7835937971740542,-4.132728611445957,9.640242750181406
169,-0.7774391615847484,-4.1030740784869675,9.630617554445577
170,-0.7772083146338999,-4.081798041731932,9.618802826921451
171,-0.7710798379110989,-4.055463553319872,9.600544592271381
172,-0.7708809150195224,-4.0281772914886504,9.583348693472665
173,-0.7647862314254089,-4.007904560444128,9.580090899996353
174,-0.7646147290838271,-3.9850245183448134,9.57599835287527
175,-0.7585512553926187,-3.960481498831754,9.561890733699283
176,-0.7584103120837226,-3.933016767978288,9.544702627523337
177,-0.7523810103353946,-3.9131734477258466,9.533024661607428
178,-0.7522640892773643,-3.882673542486549,9.521797572440853
179,-0.7462757182979947,-3.8660579057677165,9.529757167991374
180,-0.7461840467442458,-3.8436089523717345,9.538183504479687
181,-0.7402302037008867,-3.819149256005863,9.540048846271883
182,-0.7401741154662694,-3.8001085143868516,9.539962797834804
183,-0.734246700222805,-3.7724524000237616,9.526105307843407
184,-0.7342263056044296,-3.749030424668328,9.511683145324756
185,-0.7283277769872387,-3.7259861927594673,9.500706784474877
186,-0.7283367787233529,-3.701511316871389,9.492220218934802
187,-0.7224707099176777,-3.679803314292372,9.491159244554433
188,-0.7225101006257956,-3.659403220759739,9.490098791910707
189,-0.7166723515077189,-3.633918197607263,9.481397993275426
190,-0.7167458050666455,-3.6122072485500594,9.472068088734137
191,-0.7109359753698049,-3.588311737971932,9.461643582363816
192,-0.7110405216262891,-3.5663362744667193,9.451817512274342
193,-0.7052589503483973,-3.5429814630262126,9.438991680163674
194,-0.7053930913343963,-3.517172879268948,9.43013866944395
195,-0.6996462632632224,-3.4981050704404977,9.439423236545434
196,-0.6998097997480613,-3.483566068106532,9.448371244534316
197,-0.6940850131334341,-3.4535409072683616,9.431352565321706
198,-0.6942877068847103,-3.430738179590748,9.414112850589094
199,-0.6885905440803457,-3.4092787450614184,9.409448506087951
200,-0.6888224255610291,-3.392713918026561,9.40419929202756
201,-0.6831464566571727,-3.3653856421914186,9.378951307830736
202,-0.6834110770744645,-3.339388641388132,9.35207163556292
203,-0.6777653421569326,-3.3217534907293897,9.338622770436473
204,-0.6780506570524041,-3.295621374745601,9.330750494195618
205,-0.6724409779676982,-3.278784422628396,9.336281691388445
206,-0.6727511837714929,-3.260317742941817,9.339610817203171
207,-0.6671684051292653,-3.2361859325755917,9.328808178418159
208,-0.6675107194167677,-3.2137956629302806,9.31524167690442
209,-0.6619565182481875,-3.1938780000802147,9.30535884044117
210,-0.6623244871878444,-3.171365046113411,9.298259491884552
211,-0.6568009802141498,-3.1521450214428706,9.296904802591168
212,-0.6571959215782893,-3.1335301120411674,9.294745538287659
213,-0.6516982070865027,-3.1108157829640315,9.284274128586818
214,-0.6521233809647962,-3.0896007571832453,9.27236443109729
215,-0.6466531251177072,-3.069850139257156,9.26458419820363
216,-0.6471045451334025,-3.0486561697916845,9.259778493428676
217,-0.6416637478913623,-3.0295364310664037,9.26209530947701
218,-0.6421431837399225,-3.0133370176854632,9.26427535242415
219,-0.6367256002994882,-2.9896631423807323,9.25782561128632
220,-0.6372382374455487,-2.973975917485767,9.246749516293507
221,-0.6318395784683137,-2.9499765834901814,9.224121920622474
222,-0.6323818187890553,-2.9282551153742395,9.201120898986577
223,-0.627009016026235,-2.9107200735334886,9.186484524318915
224,-0.6275724784886036,-2.8895799066041516,9.175053004013012
225,-0.622227757797132,-2.872094446578785,9.16706902183351
226,-0.6228142124962305,-2.8506863031357113,9.161753934180522
227,-0.6174997277536631,-2.834185191881567,9.164172693366337
228,-0.6181103141780716,-2.8191170326253836,9.162972344161041
229,-0.612816677651116,-2.79649598595096,9.145024699845173
230,-0.6134564414830024,-2.7732919904532736,9.12854850241415
231,-0.6081934253179888,-2.759383945274383,9.130630591148613
232,-0.6088530705142271,-2.7446459165882167,9.134597616494295
233,-0.603611812173716,-2.7229215464124903,9.125528879078631
234,-0.6043016531172068,-2.704291975137893,9.11305203615519
235,-0.5990846388372404,-2.6866913113822677,9.105069429814689
236,-0.5997981792756767,-2.670342832939212,9.098439713837694
237,-0.5946031512318344,-2.6510822771243316,9.087356830662548
238,-0.5953425273235786,-2.634921066605385,9.071569345722446
239,-0.5901670393550853,-2.615594463841953,9.047450526762313
240,-0.5909293267948478,-2.593070958981107,9.026680073534232
241,-0.5857830650847611,-2.580771291670104,9.02123070020908
242,-0.5865610869943126,-2.562466922628259,9.022324506675798
243,-0.581442342190394,-2.546946196316163,9.025446522437047
244,-0.5822436846480155,-2.5324625968944363,9.024238759380516
245,-0.5771454957752228,-2.5133145660910237,9.012539823059436
246,-0.5779728655454348,-2.4956220717976314,8.997702991796494
247,-0.5728975632423778,-2.479955802769542,8.985293844628105
248,-0.5737450120211273,-2.462614612642479,8.974959871998951
249,-0.5686931960165489,-2.44725554408681,8.965897853911159
250,-0.5695611055672594,-2.4309426984502176,8.955113560860413
251,-0.5645310380756602,-2.414942319286241,8.940638497733994
252,-0.5654193691602192,-2.396553090088714,8.926276667097362
253,-0.5604139217994184,-2.3830769520380275,8.917030167679513
254,-0.5613196776579198,-2.3645335780701715,8.912332469612776
255,-0.5563414726166607,-2.3521412358185074,8.915950862386662
256,-0.5572658177415145,-2.338605345760001,8.918670939374344
257,-0.5523079920564168,-2.3216557972125513,8.912626566342574
258,-0.5532566649096248,-2.306040212371019,8.903298585902029
259,-0.5483201847509225,-2.291372963024789,8.89449265616799
260,-0.5492887381776489,-2.2769951731247073,8.8841183419654
261,-0.544371343851165,-2.261428461715265,8.871068206548088
262,-0.5453605131028857,-2.2426882922692455,8.863688586416457
263,-0.5404705730886482,-2.232541443705782,8.872983417861075
264,-0.541475958449195,-2.22288018025836,8.882161663723783
265,-0.5366013700562579,-2.204154842393208,8.875962380820475
266,-0.537634572906022,-2.189952159700537,8.86354987353478
267,-0.5327786414368991,-2.17567295574097,8.852928410342075
268,-0.5338310817360978,-2.1629818313823903,8.84363007477784
269,-0.5289919505070338,-2.1478297953381453,8.831568940742992
270,-0.5300649666129498,-2.134822239227898,8.816895625022063
271,-0.5252421575162246,-2.12015670924316,8.79989493652859
272,-0.5263339793478603,-2.104643306233183,8.785292882031719
273,-0.5215320508610911,-2.0932117964206887,8.778308291565123
274,-0.522639225008123,-2.0811804389913346,8.771782469337529
275,-0.5178538476042598,-2.066827093369161,8.759561428889231
276,-0.518980537776828,-2.053027899115097,8.743971643163755
277,-0.5142130587955573,-2.0404864715164033,8.729550097512892
278,-0.5153557235829695,-2.0247028104757923,8.720805386871934
279,-0.5106112209545209,-2.0151865604477286,8.722991235176927
280,-0.511768015041547,-2.0037976397981594,8.729229737336574
281,-0.5070418294591452,-1.9907824647796821,8.732183327024316
282,-0.5082191903031031,-1.980617572522232,8.729161848372332
283,-0.5035073081689437,-1.9661860961943551,8.717509745779264
284,-0.5047048896740813,-1.9539004911080975,8.70304390476358
285,-0.5000088893606834,-1.9417254263273274,8.689065296715995
286,-0.5012223119062796,-1.9293286047940525,8.677600862250673
287,-0.4965431121573974,-1.9179906425124313,8.667876105022167
288,-0.4977718337868603,-1.9070219448748502,8.657221886784756
289,-0.49310713279989365,-1.894502799439984,8.64320978174389
290,-0.49435253580458355,-1.8808339977991453,8.631700994501596
291,-0.48970715023857825,-1.8716952988641515,8.62830910144641
292,-0.4909653268104032,-1.8614574492895148,8.62738143401149
293,-0.4863352194495732,-1.849596151596481,8.62424985835652
294,-0.4876112215073092,-1.8380375365209176,8.620943520895924
295,-0.48299839870015837,-1.8279557592376636,8.618496384283048
296,-0.484289208541362,-1.8203283184354815,8.61068613939121
297,-0.47968573186153923,-1.8060519705676892,8.58986821010097
298,-0.48099554339988143,-1.7922010439756173,8.568901662803844
299,-0.4764103485034756,-1.7844759008911855,8.559720591862483
300,-0.47772955663748473,-1.7742422651385048,8.557294107237444
301,-0.47315967210313953,-1.7642188122816458,8.556174656818333
302,-0.4744940881890639,-1.7549758185811422,8.552745526688609
303,-0.4699375769600535,-1.7440020341909321,8.545548658632937
304,-0.47128787481010276,-1.7334861004017268,8.536969026800474
305,-0.466746191386192,-1.7241074728147763,8.529715537129198
306,-0.46810951458011824,-1.715330670606709,8.521169223440298
307,-0.46357954527419737,-1.7044613616068731,8.508182803957766
308,-0.464957667342764,-1.693697981459782,8.494954545640532
309,-0.46044231147956577,-1.6851073255564402,8.487104927826229
310,-0.46183206184788694,-1.6750730772604434,8.483747563286666
311,-0.45733187672477277,-1.6668464858669818,8.48408271327969
312,-0.4587341499086416,-1.6594302545198718,8.481979860862975
313,-0.4542445622166815,-1.6486661684502018,8.472414703988223
314,-0.4556623420176078,-1.639307288673038,8.458790333811404
315,-0.4511849565091523,-1.630268780933468,8.44549680439405
316,-0.4526144472057964,-1.620500039004098,8.435303552843704
317,-0.4481507437469975,-1.6127485315536116,8.429451543379079
318,-0.44959095990987374,-1.6049461096434139,8.42458081254252
319,-0.44513828513907505,-1.5957754600738896,8.416016065042003
320,-0.4465914746282782,-1.588204631562266,8.401469799900498
321,-0.44214774037393756,-1.5783158017570516,8.382133125150645
322,-0.4436134302450681,-1.5683632104157097,8.363776305308473
323,-0.43918254832988407,-1.5614097292791576,8.351534233060859
324,-0.44065654981130764,-1.553981101456443,8.342656018044769
325,-0.43623550861715793,-1.545235976230935,8.33429572161288
326,-0.4377219765142913,-1.5361580509721664,8.32952617115579
327,-0.4333147053876749,-1.5298055289895873,8.330396904292654
328,-0.43481077929734036,-1.523577164340075,8.332497296121142
329,-0.43041311192861453,-1.514771543527689,8.331234072141765
330,-0.4319231372010794,-1.5058293322690326,8.331633841728541
331,-0.42754000035078393,-1.5003517693344024,8.337459530883873
332,-0.4290589017467238,-1.4950933408134255,8.340759007145413
333,-0.4246838017643595,-1.4861038504367419,8.333575162480624
334,-0.42621610069609767,-1.4786710112559993,8.318941670970327
335,-0.42185019014406255,-1.470898576722775,8.30122129633328
336,-0.42339184467362234,-1.4620850020171225,8.286624736329147
337,-0.4190378662012824,-1.4566373618425499,8.279448402972552
338,-0.42058627393937437,-1.4501979615984055,8.275995738629456
339,-0.4162416145654185,-1.4432424796115904,8.272039158519375
340,-0.41780027853026125,-1.4360694616251115,8.26751195664205
341,-0.41346622860347737,-1.4300203346733484,8.263569707569415
342,-0.4150334555982028,-1.4235308585413011,8.258688213408837
343,-0.41070868960237517,-1.4170783700578267,8.25084649304051
