t,theta_history,m_history,v_history
0,-1.5,0.0,0.0
1,-1.5,-0.09235301475576968,0.15065485560146163
2,-1.494654198476586,-0.24398887950292383,0.3980587037503676
3,-1.49287198110724,-0.40102027963314757,0.6540786578383813
4,-1.486701483946366,-0.5564635259139801,0.9079620266025192
5,-1.4844547489137059,-0.7088251549868935,1.1564918543804492
6,-1.4779878878347201,-0.8583623144823035,1.4006504489326672
7,-1.475535832561007,-1.0046343818643304,1.6390459221672526
8,-1.4689186805175516,-1.1480647994754944,1.8729535855227755
9,-1.4663519494905628,-1.2882574327135963,2.1011215732700443
10,-1.4596448106842437,-1.4256509837928069,2.3248467529327983
11,-1.4570056600150054,-1.5598533391632439,2.5429161024136766
12,-1.4502393819234498,-1.691295358735006,2.756573106183305
13,-1.4475510675948575,-1.8196507523020011,2.964845383935522
14,-1.4407436713340838,-1.9453193222498952,3.168855510652445
15,-1.4380204822916511,-2.067907857134621,3.367430688679674
16,-1.4311835193702591,-2.1878802292604513,3.5618909369421208
17,-1.4284349663480853,-2.304901495996089,3.7512510573651645
18,-1.4215763616127417,-2.4193679881541725,3.9366182154497564
19,-1.4188091655378392,-2.530912910537026,4.116925161329518
20,-1.4119346975530016,-2.6399877631964075,4.293386233086178
21,-1.4091538199377143,-2.746235510298925,4.465039999715736
22,-1.4022678487333164,-2.850103624414273,4.633074967922137
23,-1.3994771654514455,-2.9511623594634884,4.79626955974936
24,-1.3925831251704077,-3.049914410227202,4.956008698610338
25,-1.389785734596816,-3.1459735404892992,5.11120134088348
26,-1.3828864175522817,-3.239797891579187,5.263081568434611
27,-1.3800848601455806,-3.330957045646514,5.4104224176494204
28,-1.3731825871383254,-3.4197556326476852,5.554008256098521
29,-1.3703790491516938,-3.506388553607807,5.6947894613423
30,-1.3634760076095525,-3.591631735346929,5.834357676217723
31,-1.360672092872057,-3.672599630712288,5.963768407776859
32,-1.353769427534045,-3.7494505903721413,6.08482073902069
33,-1.3509676509298445,-3.829740454825257,6.220724673685241
34,-1.3440677834639816,-3.9102599052894953,6.359360283670534
35,-1.3412681505815998,-3.9782233798394944,6.463207228779356
36,-1.3343728849582637,-4.046353715102394,6.569407694183194
37,-1.331577106472121,-4.118384024688428,6.690042448221287
38,-1.324684999580537,-4.18254248310245,6.793711971659845
39,-1.3218966249995352,-4.250159493946988,6.909318560354709
40,-1.3150104543362242,-4.315249145130095,7.0206973081821085
41,-1.3122289148719488,-4.37398820260084,7.117574607132891
42,-1.3053519472834583,-4.43641977515201,7.224299465784783
43,-1.302576338693196,-4.4902718478202965,7.311585439099577
44,-1.2957092337165226,-4.546320953393196,7.404903390601055
45,-1.2929410367062488,-4.59921214941435,7.492790323957542
46,-1.2860828587324171,-4.649005674240773,7.575189498193527
47,-1.2833249210189666,-4.700946847646282,7.664370175246099
48,-1.276475291840347,-4.746412370772245,7.7411665744771705
49,-1.2737298276669042,-4.795668282039402,7.827918544311856
50,-1.2668896670242884,-4.838745756843565,7.903237995168166
51,-1.264157545436725,-4.88361885344141,7.98363084403244
52,-1.2573287961468398,-4.925238325523591,8.058632465554771
53,-1.2546098201075477,-4.965085941865186,8.130865785130366
54,-1.2477946265587279,-5.005020732025967,8.204220923174177
55,-1.2450883554508667,-5.040305169484213,8.26911729286079
56,-1.2382884894189836,-5.077859502548386,8.338911011965498
57,-1.2355948026200336,-5.109529925166606,8.398355776000665
58,-1.228811382461025,-5.144248343850072,8.46386283260307
59,-1.226130692615793,-5.1729703886429625,8.518746615742876
60,-1.219364178077922,-5.203813466861793,8.577726345641649
61,-1.2166976334393422,-5.23080604014225,8.631725899521697
62,-1.2099483767653907,-5.259611058589266,8.689486346701994
63,-1.2072967741062095,-5.28330585557007,8.735277096943856
64,-1.2005640520456158,-5.304316973309706,8.776844108173918
65,-1.197930432552279,-5.33046590983042,8.836213633199314
66,-1.1912150830447579,-5.356684258405303,8.896520523646721
67,-1.1885981937154726,-5.372739765432285,8.926683729586617
68,-1.1819004944201144,-5.384838203191892,8.95105157205889
69,-1.1793041427968431,-5.410190144569001,9.010891572782908
70,-1.172621592176566,-5.42728053760073,9.058093273659386
71,-1.1700471242384076,-5.44271489434701,9.098725941930327
72,-1.1633850080441521,-5.459538897417756,9.14247828409918
73,-1.1608293242426444,-5.471072385835531,9.171183656911136
74,-1.1541864988013806,-5.479149873474701,9.195492742570453
75,-1.1516528916556406,-5.495173486137928,9.237429126477725
76,-1.1450268327738324,-5.501515005781651,9.265192642721487
77,-1.1425183129975114,-5.514883935233181,9.30800277702165
78,-1.135912301893898,-5.524893149803159,9.346329913157165
79,-1.1334264173304962,-5.530636180396867,9.37495384564201
80,-1.1268445876849165,-5.540148827663016,9.409532206223922
81,-1.1243788605743037,-5.542802196637406,9.43007664285599
82,-1.1178209458599146,-5.547123970520642,9.453358006408026
83,-1.115377050266982,-5.5514235356342265,9.477487260951808
84,-1.1088407509467213,-5.55165072575319,9.496427097548109
85,-1.1064219540739662,-5.556474878310015,9.525072405742993
86,-1.0999072798912037,-5.556372747297874,9.547401865413596
87,-1.0975144417180978,-5.558071043155228,9.574241043246975
88,-1.0910243260238646,-5.5594749612982755,9.600391913742426
89,-1.088655595520115,-5.5564743149207985,9.620517796274163
90,-1.0821932373669574,-5.558503579190927,9.646629190596816
91,-1.0798464483712251,-5.5519539474607456,9.65948569455739
92,-1.0734130261179664,-5.551456201558289,9.679353777393624
93,-1.0710882583670363,-5.544611782385737,9.691949337220347
94,-1.0646830643380778,-5.542088780405024,9.709134372235766
95,-1.0623812848063061,-5.5346203566301435,9.71687362505964
96,-1.0560021317544315,-5.525127549974226,9.722154705655267
97,-1.0537280043297301,-5.521837382049541,9.745756235669642
98,-1.047374470253905,-5.517891749475319,9.768244485761542
99,-1.0451260162052167,-5.506621389430651,9.768530554363142
100,-1.0387993567045692,-5.491747530275911,9.765040655533586
101,-1.0365813238285542,-5.4889086262884135,9.794315921805763
102,-1.0302802650756937,-5.484562713805559,9.822079193633947
103,-1.0280890595907555,-5.46879548115922,9.824860080192021
104,-1.0218212930719173,-5.460768969084488,9.834347106632164
105,-1.019653912791868,-5.446873688612546,9.836704809541384
106,-1.0134156128627567,-5.433658891826075,9.83966144075853
107,-1.0112765498748815,-5.422749901708942,9.855145298653609
108,-1.0050679810474066,-5.414555198780347,9.873028127219788
109,-1.0029551153532346,-5.396622993473879,9.87516424740468
110,-0.9967807252825147,-5.387181455633575,9.884244259424795
111,-0.9946915884833704,-5.368957847894669,9.878285570912574
112,-0.9885478083947291,-5.3519241083755915,9.873678809010473
113,-0.9864877364303648,-5.339576983123028,9.879066963102423
114,-0.9803697031033053,-5.320684294427682,9.87932777749981
115,-0.9783429942390327,-5.30834218555309,9.890856659267044
116,-0.9722526524086499,-5.292642399491398,9.899529733756964
117,-0.9702573047259745,-5.275553213598093,9.903299505515625
118,-0.9641981670345178,-5.259833134082617,9.907877153193125
119,-0.9622319994355494,-5.241475980449978,9.905439661746659
120,-0.95620297821455,-5.221776701033212,9.901852237755703
121,-0.9542682814239944,-5.206094909331376,9.903639947381826
122,-0.9482665388542967,-5.184501581021573,9.901228084453976
123,-0.9463662277144517,-5.169332177126975,9.907759566033441
124,-0.9403924258240469,-5.149196783902521,9.911413650383885
125,-0.938526250329086,-5.1312840703157825,9.919336436267384
126,-0.932584663423309,-5.115322228917442,9.928035707382113
127,-0.9307478156732584,-5.092227662829309,9.92402578924601
128,-0.9248412243169305,-5.073556930640459,9.92333728333626
129,-0.9230337608564013,-5.052174951175233,9.925176965012609
130,-0.9171614748592575,-5.036910624592191,9.930447155503781
131,-0.9153801586270196,-5.011343025004137,9.913120805600105
132,-0.9095408157622493,-4.984495791392664,9.895544613324006
133,-0.9077941790514822,-4.969530088299233,9.907145543513096
134,-0.9019824663361918,-4.951540307674455,9.91697027811707
135,-0.9002671928857263,-4.926822068176862,9.907587149062524
136,-0.8944896305378442,-4.902840231662597,9.897500676153548
137,-0.8928070067626659,-4.883521696739108,9.897799300879333
138,-0.8870587864423853,-4.860391567026976,9.89708600108066
139,-0.885410789057922,-4.839334987851756,9.902546990552647
140,-0.879696206703037,-4.822032928746116,9.909369747129878
141,-0.8780764936943019,-4.79467716309919,9.89643204746832
142,-0.8723980636545459,-4.771391771089064,9.88384981950286
