t,theta_history,theta_dot_history,theta_ddot_history,m_history,v_history
0,-1.5,0.0,1069.1602202293489,0.0,0.0
1,-1.5,0.21383204404586978,740.9364898913803,-0.0057131877611327824,0.009284560345793856
2,-1.4999572335911908,0.3620193420241459,526.4573384051346,-0.02025286712639544,0.032918343123304106
3,-1.499884829722786,0.46731080970517275,384.18896128670553,-0.04069850390129143,0.06616578960631282
4,-1.499791367560845,0.5441486019625139,288.1633538280288,-0.06508779678858476,0.1058496036446856
5,-1.4996825378404524,0.6017812727281198,222.0644937069487,-0.09210226955486858,0.14983791190277057
6,-1.4995621815859068,0.6461941714695094,175.57642510967696,-0.12085602097828238,0.19670019505177866
7,-1.4994329427516129,0.6813094564914447,142.12638901656405,-0.15075379039133605,0.24547646181559146
8,-1.4992966808603145,0.7097347342947575,117.48770384974883,-0.1813955955127048,0.29552239620479986
9,-1.4991547339134557,0.7332322750647073,98.91263303211129,-0.21251266163437021,0.3464054743019793
10,-1.4990080874584428,0.7530148016711296,84.59231688238722,-0.24392437457275143,0.39783527430179455
11,-1.4988574844981086,0.7699332650476071,73.31891852221118,-0.2755093587458286,0.449616724893697
12,-1.498703497845099,0.7845970487520492,64.27312095565574,-0.30718604532301996,0.5016187413803156
13,-1.4985465784353487,0.7974516729431803,56.88959369985569,-0.33889961631939386,0.5537531842573035
14,-1.49838708810076,0.8088295916831515,50.771163371946756,-0.37061323238619054,0.6059607423264313
15,-1.4982253221824233,0.8189838243575409,45.633564402051796,-0.4023021386227787,0.6582014609661272
16,-1.4980615254175518,0.8281105372379512,41.2695084114787,-0.4339497040152537,0.7104483865436757
17,-1.4978959033101042,0.836364438920247,37.52504603544726,-0.4655447600178206,0.7626833013055896
18,-1.4977286304223203,0.8438694481273366,34.283815741538604,-0.4970798120042551,0.8148938607309585
19,-1.4975598565326949,0.8507262112756443,31.456401274263968,-0.5285498372005888,0.8670716718232727
20,-1.4973897112904397,0.8570174915304969,28.973033552222027,-0.5599514766887312,0.9192110027421406
21,-1.4972183077921337,0.8628120982409414,26.77850802848436,-0.5912824922085286,0.9713079160851806
22,-1.4970457453724855,0.8681677998466383,24.82858856284342,-0.6225414009037593,1.0233596864890246
23,-1.4968721118125161,0.8731335175592069,23.087422437902294,-0.6537272296555086,1.0753644090726047
24,-1.4966974851090042,0.8777510020467875,21.525653090956887,-0.684839349792494,1.127320736005113
25,-1.496521934908595,0.8820561326649788,20.119021425441197,-0.7158773658312366,1.1792276991148256
26,-1.496345523682062,0.886079936950067,18.84731436268261,-0.7468410405413994,1.2310845902972272
27,-1.496168307694672,0.8898493998226037,17.69356382655851,-0.7777302444382932,1.2828908807673678
28,-1.4959903378147075,0.8933881125879154,16.643428933955207,-0.8085449217060575,1.33464616643186
29,-1.4958116601921898,0.8967167983747065,15.684714050502091,-0.8392850671765927,1.386350130836614
30,-1.495632316832515,0.8998537411848069,14.80698890860066,-0.8699507107509066,1.4380025199517725
31,-1.495452346084278,0.9028151389665271,14.001286322416817,-0.9005419068333438,1.48960312493816
32,-1.4952717830564846,0.9056153962310104,13.259859559741294,-0.9310587271447714,1.5411517703034414
33,-1.4950906599772384,0.9082673681429586,12.575986051524657,-0.9615012558155313,1.5926483057047456
34,-1.49490900650361,0.9107825653532635,11.943807434330989,-0.991869586018447,1.6440926002243883
35,-1.4947268499905393,0.9131713268401297,11.358198328632163,-1.0221638176438428,1.6954845383281378
