t,theta_history,m_history,v_history
0,-1.5,0.0,0.0
1,-1.499,-0.0919584274787436,0.14937047407004156
2,-1.499465420283257,-0.24363738251622702,0.39689873594214864
3,-1.4982871856420172,-0.4020857377391998,0.6574865291786148
4,-1.4986701050769464,-0.5598647106093775,0.9189096195941849
5,-1.4974453774610696,-0.7161545745731643,1.1801021886358385
6,-1.4977985866863102,-0.8706643842869297,1.4402945211165616
7,-1.4965532406566278,-1.0235540301150174,1.6999802125063626
8,-1.4968912975871296,-1.1746690660324899,1.9586111009601213
9,-1.495634347794254,-1.3241897478872984,2.2167159948900386
10,-1.495963231028811,-1.4719636168431218,2.473750630884488
11,-1.494698851025527,-1.6181761532103587,2.7302605366131396
12,-1.4950215916803395,-1.7626787377546742,2.985717206712338
13,-1.4937520538750124,-1.9056347878250286,3.2405909401607325
14,-1.494070400052745,-2.0469074567381766,3.4943942225227107
15,-1.4927970785511697,-2.1866894941955657,3.747697959196405
16,-1.493112130317026,-2.3248179825596127,3.9999282391037037
17,-1.4918359198206579,-2.461462489977531,4.251575217076255
18,-1.49214841467855,-2.5964881824183643,4.502165859490499
19,-1.4908699307907374,-2.7300791491563765,4.7522374826100915
20,-1.4911803877229093,-2.8620719858235706,5.001221635072602
21,-1.4899000722571798,-2.992653655199547,5.249667508579811
22,-1.4902088707680459,-3.1216599039369113,5.497001617188499
23,-1.4889270519557833,-3.2493065859609316,5.743880395913117
24,-1.4892344783088471,-3.375405935131491,5.989639893526821
25,-1.4879514067091686,-3.5001567906120794,6.234885210170344
26,-1.4882576820273266,-3.6233877715583573,6.479009423394588
27,-1.4869735538172093,-3.7453174435566337,6.722693347136762
28,-1.4872788532358052,-3.865838516138551,6.965550378718534
29,-1.4859938247194147,-3.984917258792477,7.2073094425376
30,-1.48629828518773,-4.102213895178881,7.446895115730881
31,-1.485012487024658,-4.218988481966011,7.6887665845480155
32,-1.4853162364498007,-4.335268960373751,7.932700744757186
33,-1.4840297612739757,-4.4478340236710725,8.16701208298092
34,-1.4843328743665447,-4.557970960886286,8.3968068273454
35,-1.4830458296342424,-4.671348679142639,8.642127783048068
36,-1.4833483871407263,-4.782394859997064,8.883272324544485
37,-1.4820608465403455,-4.889515232266876,9.114161638705289
38,-1.482362961114895,-4.998121436815869,9.353306368409136
39,-1.4810749430905568,-5.102970191126835,9.582948934495011
40,-1.4813766444185423,-5.206835044327737,9.81261646540835
41,-1.4800882336653733,-5.311534011562909,10.048601995878196
42,-1.4803895344169304,-5.412281017162807,10.274863677025083
43,-1.4791008162578945,-5.515040052249478,10.511215706315383
44,-1.4794017672006112,-5.614594459629891,10.740305724502603
45,-1.4781127751635559,-5.7136512793195875,10.970780960972865
46,-1.4784134506218665,-5.812196888400886,11.20266167524059
47,-1.47712418550859,-5.907655684008278,11.427254696857437
48,-1.4774246458945413,-6.004402571990048,11.65894624691479
49,-1.4761351153568365,-6.097231823080521,11.880617656483068
50,-1.4764353922970999,-6.191293274970614,12.109076509796436
51,-1.4751456260925122,-6.282456182630186,12.330888747014923
52,-1.47544572733797,-6.373397422504704,12.554714532938718
53,-1.4741557725987682,-6.4633376858490585,12.778111927090162
54,-1.474455698143436,-6.5513155592725765,12.99785991092377
55,-1.4731656040100534,-6.639901666247402,13.222308325293332
56,-1.4734653569882228,-6.725356644828744,13.439415030565852
57,-1.472175164634078,-6.812196115190886,13.66351687394638
58,-1.4724747580390805,-6.895484103277035,13.87891198357272
59,-1.4711844941764662,-6.9802912465196,14.101738987916411
60,-1.4714839526121941,-7.062062514315681,14.317546454526209
61,-1.4701936298592526,-7.14434519911303,14.536973550341584
62,-1.4704929771063833,-7.223841307343955,14.749866983185518
63,-1.469202603691353,-7.304265896639305,14.969287518854497
64,-1.469501890456094,-7.3844521903838185,15.190632307370779
65,-1.4682114521246215,-7.46061569837094,15.398525258696584
66,-1.4685106779836914,-7.535133387186224,15.603058618879048
67,-1.4672201958170028,-7.612859681852625,15.824933807540507
68,-1.46751941287048,-7.691354509416513,16.05150955723801
69,-1.4662288748154229,-7.761366517991923,16.24841915656565
70,-1.4665281231828864,-7.83465420783099,16.45821942953958
71,-1.4652375050569262,-7.906948664989422,16.668701479609403
72,-1.46553673410032,-7.977061566912091,16.873442059083864
73,-1.4642461153930213,-8.04820283596237,17.086377479721158
74,-1.4645453736285035,-8.120078281949029,17.303419757100848
75,-1.463254730159274,-8.185876944292575,17.50120158898576
76,-1.4635540737133763,-8.25616192835641,17.71577014390317
77,-1.4622633696183422,-8.320849084855027,17.912853780732426
