lr,E_inf,E_f,n_points,T_used
0.0005,4.861141020828796e-07,3.989423936672479e-11,1,4.4994000000000005
0.001,1.0311327953371752e-05,2.99956485531531e-09,1,5.4988
0.005,0.00033216122887458344,4.266979116071964e-06,1,9.994
0.01,0.0049985179568390325,2.697773386372941e-05,1,10.0
0.05,0.06382219677631518,0.14651886482654447,1,10.0
