t,theta_history,m_history,v_history
0,-1.5,0.0,0.0
1,-1.4990000000006154,-0.16250000000000014,0.26406250000000026
2,-1.4980000057160954,-0.3230102699402245,0.5266768950858944
3,-1.4970000209626362,-0.48155124884102796,0.7878490466118124
4,-1.4960000495610042,-0.6381431723500547,1.0475848015178675
5,-1.4950000953364198,-0.7928060747694123,1.3058899923115153
6,-1.4940001621184404,-0.9455597910625346,1.5627704370491502
7,-1.4930002537408438,-1.0964239588409341,1.818231939317939
8,-1.4920003740415095,-1.2454180203310479,2.072280288217895
9,-1.4910005268623026,-1.3925612243213759,2.3249212583441947
10,-1.4900007160489535,-1.5378726280901078,2.5761606097697376
11,-1.4890009454509412,-1.681371099313437,2.826004088027949
12,-1.4880012189213734,-1.8230753179547492,3.0744574240958347
13,-1.4870015403168673,-1.963003778134885,3.321526334377277
14,-1.4860019134974298,-2.1011747899836597,3.5672165206865873
15,-1.4850023423263385,-2.2376064814728323,3.811533670232306
16,-1.4840028306700208,-2.3723168002307053,4.0544834556012574
17,-1.4830033823979334,-2.5053235153385445,4.2960715347428575
18,-1.4820040013824418,-2.636644219108998,4.53630355095368
19,-1.4810046914986994,-2.766296328846694,4.775185132862278
20,-1.4800054566245258,-2.8942970885911965,5.012721894414267
21,-1.4790063006402852,-3.0206635708425007,5.2489194348576635
22,-1.4780072274287652,-3.145412678269232,5.483783338728492
23,-1.4770082408750544,-3.268561145399736,5.717319175836649
24,-1.47600934486642,-3.3901255402962165,5.949532501252038
25,-1.4750105432921856,-3.5101222662121057,6.180428855290961
26,-1.4740118400436082,-3.6285675632328216,6.410013763502788
27,-1.4730132390137556,-3.745477509900089,6.638292736656889
28,-1.4720147440973834,-3.8608680248199834,6.865271270729835
29,-1.4710163591908114,-3.9747548682548626,7.0909548468928705
30,-1.4700180881918006,-4.087153643699348,7.3153489314996625
31,-1.469019934999429,-4.198079799440515,7.538458976074317
32,-1.4680219035139688,-4.307548630102449,7.760290417299674
33,-1.4670239976367618,-4.415575278175331,7.980848677005876
34,-1.4660262212700956,-4.5221747355291955,8.20013916215921
35,-1.4650285783170798,-4.6273618449125244,8.418167264851242
36,-1.4640310726815213,-4.731151301435831,8.634938362288205
37,-1.4630337082678004,-4.8335576540403675,8.850457816780692
38,-1.462036488980746,-4.934595306952134,9.064730975733616
39,-1.4610394187255116,-5.034278521121301,9.277763171636455
40,-1.46004250140745,-5.132621415647231,9.489559722053778
41,-1.45904574093199,-5.2296379691892,9.700125929616064
42,-1.45804914120451,-5.325342021363009,9.909467082010789
43,-1.457052706130215,-5.419747274123585,10.117588451973813
44,-1.4560564396140103,-5.5128672931337395,10.324495297281045
45,-1.4550603455603783,-5.604715509119212,10.530192860740407
46,-1.4540644278732524,-5.695305219210143,10.734686370184066
47,-1.453068690455893,-5.784649588269098,10.937981038460974
48,-1.4520731372107623,-5.872761650205801,11.140082063429686
49,-1.4510777720394001,-5.959654309278683,11.340994627951474
50,-1.4500825988422987,-6.045340341383408,11.540723899883728
51,-1.4490876215187785,-6.129832395328474,11.739275032073651
52,-1.4480928439668626,-6.213142994098053,11.936653162352249
53,-1.4470982700831534,-6.295284536102169,12.132863413528602
54,-1.4461039037627075,-6.3762692964143595,12.327910893384445
55,-1.4451097488989113,-6.456109427996939,12.521800694669029
56,-1.4441158093833566,-6.534816962913988,12.714537895094285
57,-1.4431220891057166,-6.612403813532192,12.90612755733028
58,-1.4421285919536215,-6.688881773709663,13.096574729000965
59,-1.4411353218125351,-6.764262519972834,13.285884442680226
60,-1.44014228256563,-6.838557612681588,13.474061715888226
61,-1.4391494780936647,-6.9117784971827065,13.661111551088045
62,-1.4381569122748594,-6.983936504951765,13.847038935682614
63,-1.4371645889847733,-7.055042854723601,14.031848842011954
64,-1.4361725120961806,-7.125108653611454,14.215546227350709
65,-1.4351806854789477,-7.194144898214902,14.39813603390597
66,-1.4341891129999103,-7.262162475716702,14.57962318881541
67,-1.4331977985227506,-7.329172164968646,14.760012604145702
68,-1.4322067459078753,-7.395184637566547,14.939309176891253
69,-1.4312159590122924,-7.460210458914463,15.117517788973224
70,-1.43022544168949,-7.524260089278258,15.294643307238854
71,-1.4292351977893138,-7.58734388482862,15.470690583461074
72,-1.4282452311578462,-7.6494720986736375,15.645664454338446
73,-1.4272555456372842,-7.710654881881035,15.819569741495366
74,-1.426266145065819,-7.770902284490175,15.992411251482588
75,-1.4252770332775146,-7.830224256513931,16.16419377577805
76,-1.424288214102188,-7.8886306489305325,16.334922090787977
77,-1.4232996913652882,-7.946131214665474,16.504600957848318
78,-1.4223114688877767,-8.002735609563608,16.673235123226448
79,-1.421323550486008,-8.058453393351492,16.840829318123188
80,-1.42033593997161,-8.113294030590122,17.00738825867511
81,-1.4193486411513647,-8.167266891618116,17.17291664595717
82,-1.4183616578270906,-8.22038125348546,17.3374191659856
83,-1.4173749937955233,-8.272646300877918,17.50090048972113
84,-1.4163886528481981,-8.324071127032186,17.66336527307248
85,-1.4154026387713325,-8.37466473464188,17.82481815690019
86,-1.4144169553457084,-8.424436036754482,17.985263767020705
87,-1.413431606346556,-8.473393857659278,18.14470671421078
88,-1.4124465955434367,-8.521546933766443,18.30315159421218
89,-1.4114619267001276,-8.56890391447731,18.460602987736674
90,-1.4104776035745052,-8.615473363045947,18.617065460471316
91,-1.409493629918431,-8.661263757432103,18.772543563084053
92,-1.408510009477636,-8.70628349114563,18.927041831229587
93,-1.4075267459916063,-8.750540874082454,19.08056478555556
94,-1.40654384319347,-8.79404413335219,19.233116931709016
95,-1.4055613048098825,-8.836801414097469,19.384702760343185
96,-1.4045791345609142,-8.878820780305084,19.535326747124518
97,-1.4035973361599379,-8.920110215609014,19.68499335274006
98,-1.4026159133135165,-8.96067762408542,19.833707022905084
99,-1.4016348697212915,-9.000530831039697,19.981472188371015
100,-1.4006542090758716,-9.03967758378565,20.128293264933678
101,-1.399673935062722,-9.078125552416884,20.274174653441797
102,-1.3986940513600554,-9.115882330570477,20.419120739805813
103,-1.3977145616387205,-9.152955436183026,20.56313589500697
104,-1.3967354695620944,-9.189352312239128,20.706224475106705
105,-1.395756778785973,-9.225080327512387,20.84839082125632
106,-1.394778492958464,-9.260146777299003,20.989639259706934
107,-1.393800615719878,-9.294558884144045,21.129974101819734
108,-1.392823150702623,-9.328323798560458,21.269399644076497
109,-1.391846101531097,-9.361448599740875,21.407920168090406
110,-1.3908694718215826,-9.39394029626234,21.545539940617147
111,-1.3898932651821414,-9.425805826783966,21.682263213566294
