t,theta_history,theta_dot_history,theta_ddot_history,m_history,v_history
0,-1.5,,,0.0,0.0
1,-1.49500000001,,,-0.050000000000000044,0.025000000000000022
2,-1.490000025172042,,,-0.09940000000020009,0.049875100000199644
3,-1.485000092327304,,,-0.14820600050363897,0.07462562540162654
4,-1.4800002183715673,,,-0.1964239423451487,0.09925190161169177
5,-1.4750004202550024,,,-0.2440597072891286,0.12375425404257219
6,-1.4700007149819525,,,-0.2911191186213374,0.1481330081095794
7,-1.4650011196107149,,,-0.3376079417347631,0.17238848922951527
8,-1.4600016512533205,,,-0.38353188470962984,0.1965210228190141
9,-1.4550023270753114,,,-0.4288965988876,0.22053093429287138
10,-1.4500031642955158,,,-0.4737076794402303,0.24441854906235932
11,-1.4450041801858209,,,-0.5179706659317383,0.26818419253352915
12,-1.440005392070944,,,-0.5616910428761374,0.2918281901055002
13,-1.435006817328201,,,-0.604874240288795,0.3153508671687359
14,-1.430008473387274,,,-0.6475256342324711,0.33875254910330643
15,-1.4250103777299752,,,-0.6896505473578919,0.3620335612771389
16,-1.4200125478900103,,,-0.7312542494389125,0.38519422904425415
17,-1.4150150014527383,,,-0.7723419579023235,0.40823487774299033
18,-1.4100177560549307,,,-0.8129188383523551,0.4311558326942144
19,-1.4050208293845283,,,-0.8529900050899302,0.45395741919952043
20,-1.4000242391803952,,,-0.8925605216267215,0.4766399625394147
21,-1.3950280032320719,,,-0.9316354011940623,0.499203787971489
22,-1.3900321393795259,,,-0.9702196072467631,0.5216492207285808
23,-1.3850366655129003,,,-1.0083180539618861,0.5439765860169204
24,-1.3800415995722608,,,-1.0459356067325254,0.5661862090142672
25,-1.3750469595473402,,,-1.0830770826566454,0.5882784148680309
26,-1.3700527634772819,,,-1.1197472510210258,0.6102535286933831
27,-1.3650590294503804,,,-1.1559508337803612,0.632111875571355
28,-1.3600657756038208,,,-1.191692506031565,0.6538537805469228
29,-1.3550730201234158,,,-1.2269768964833259,0.6754795686270817
30,-1.3500807812433413,,,-1.261808587920961,0.6969895647789075
31,-1.34508907724587,,,-1.2961921176666185,0.7183840939276058
32,-1.3400979264611033,,,-1.3301319780348697,0.7396634809545497
33,-1.335107347266701,,,-1.3636326167837431,0.7608280506953053
34,-1.3301173580876096,,,-1.39669843756124,0.7818781279376458
35,-1.3251279773957885,,,-1.4293338003473797,0.8028140374195529
36,-1.3201392237099348,,,-1.4615430218918217,0.8236361038272079
37,-1.315151115595206,,,-1.4933303761471022,0.84434465179297
38,-1.3101636716629415,,,-1.5247000946975353,0.864940005893344
39,-1.3051769105703812,,,-1.5556563671838188,0.8854224906469355
40,-1.300190851020384,,,-1.5862033417233883,0.9057924305123958
41,-1.295205511761143,,,-1.6163451253265622,0.9260501498863549
42,-1.290220911585901,,,-1.6460857843085195,0.9461959731013435
43,-1.2852370693326614,,,-1.6754293446971524,0.9662302244237037
44,-1.280254003883901,,,-1.7043797926368343,0.9861532280514885
45,-1.275271734166278,,,-1.732941074788144,1.0059653081123512
46,-1.2702902791503408,,,-1.7611170987235882,1.025666788661423
47,-1.265309657850233,,,-1.7889117333193592,1.0452579936791797
48,-1.260329889323399,,,-1.8163288091431702,1.0647392470692987
49,-1.2553509926702866,,,-1.8433721188382064,1.0841108726565043
50,-1.2503729870340483,,,-1.8700454175032302,1.1033731941844032
51,-1.2453958916002417,,,-1.8963524230688789,1.1225265353133091
52,-1.240419725596527,,,-1.922296816670195,1.1415712196180567
53,-1.2354445082923649,,,-1.9478822430154237,1.1605075705858068
54,-1.2304702589987113,,,-1.9731123107511168,1.1793359116138389
55,-1.2254969970677116,,,-1.99799059282358,1.1980565660073361
56,-1.2205247418923928,,,-2.0225206268366986,1.2166698569771586
57,-1.2155535129063548,,,-2.0467059154061795,1.2351761076376067
58,-1.2105833295834603,,,-2.070549926510245,1.2535756410041758
59,-1.205614211437522,,,-2.094056093836812,1.2718687799913009
60,-1.2006461780219904,,,-2.117227817127194,1.2900558474100903
61,-1.1956792489296388,,,-2.1400684625163624,1.3081371659660515
62,-1.1907134437922475,,,-2.162581362869792,1.3261130582568064
63,-1.1857487822802864,,,-2.184769818116939,1.3439838467697978
64,-1.180785284102596,,,-2.206637095581375,1.361749853879987
