t,theta_history,theta_dot_history,theta_ddot_history,m_history,v_history
0,-1.5,,,0.0,0.0
1,-1.4990000000002857,,,-0.3500000000000003,1.225000000000001
2,-1.4980000069830095,,,-0.6955607198402687,2.4422088613540636
3,-1.4970000256150076,,,-1.0367279979057975,3.651662084937553
4,-1.4960000605718538,,,-1.3735472175743013,4.853395078227878
5,-1.4950001165377214,,,-1.7060633117476751,6.047443155141818
6,-1.4940001982052455,,,-2.0343207673379933,7.2338415358747215
7,-1.493000310275384,,,-2.358363629708504,8.412625346741603
8,-1.492000457457277,,,-2.678235507070071,9.583829620020145
9,-1.491000644468107,,,-2.9939795748335065,10.747489293795617
10,-1.490000876032958,,,-3.30563857991824,11.903639211807723
11,-1.4890011568846726,,,-3.6132548450177624,13.052314123299423
12,-1.4880014917637103,,,-3.9168702728222726,14.19354868286768
13,-1.4870018854180043,,,-4.216526350198961,15.327377450316227
14,-1.4860023426028166,,,-4.512264152330353,16.453834890510286
15,-1.485002868080595,,,-4.804124346811131,17.572955373233313
16,-1.4840034666208264,,,-5.092147197703855,18.68477317304576
17,-1.4830041429998921,,,-5.376372569553988,19.78932246914586
18,-1.482004902000921,,,-5.656839931364645,20.886637345232465
19,-1.4810057484136419,,,-5.933588360531453,21.976751789369924
20,-1.4800066870342372,,,-6.206656546737941,23.059699693855045
21,-1.4790077226651939,,,-6.476082795811836,24.135514855086143
22,-1.4780088601151542,,,-6.741905033542677,25.20423097343417
23,-1.4770101041987673,,,-7.004160809461122,26.26588165311594
24,-1.476011459736539,,,-7.262887300580329,27.32050040206949
25,-1.4750129315546807,,,-7.518121315099807,28.368120631831577
26,-1.4740145244849594,,,-7.769899296072103,29.40877565741728
27,-1.4730162433645455,,,-8.01825732503269,30.442498697201795
28,-1.472018093035861,,,-8.263231125593453,31.46932287280436
29,-1.471020078346427,,,-8.504856067000093,32.489281208974354
30,-1.4700222041487103,,,-8.743167167653864,33.50240663347962
31,-1.4690244752999708,,,-8.97819909859796,34.508731976996934
32,-1.4680268966621064,,,-9.209986186968926,35.50828997300467
33,-1.4670294731014997,,,-9.438562419413437,36.50111325767776
34,-1.4660322094888627,,,-9.663961445470791,37.48723436978475
35,-1.465035110699081,,,-9.88621658092148,38.466685750587224
36,-1.4640381816110597,,,-10.105360811102143,39.43949974374135
37,-1.4630414271075651,,,-10.321426794187277,40.40570859520177
38,-1.4620448520750702,,,-10.534446864438005,41.36534445312769
39,-1.4610484614035968,,,-10.744453035418264,42.31843936779126
40,-1.4600522599865589,,,-10.951477003178718,43.265025291488215
41,-1.4590562527206044,,,-11.155550149408723,44.20513407845085
42,-1.458060444505458,,,-11.356703544556673,45.1387974847632
43,-1.4570648402437623,,,-11.554967950919046,46.06604716827863
44,-1.4560694448409195,,,-11.750373825698444,46.986914688539585
45,-1.455074263204933,,,-11.942951324030968,47.90143150669983
46,-1.4540793002462475,,,-12.13273030198321,48.80962898544887
47,-1.45308456087759,,,-12.319740319519184,49.711538388938756
48,-1.4520900500138099,,,-12.504010643437493,50.60719088271323
49,-1.4510957725717193,,,-12.685570250279026,51.4966175336392
50,-1.4501017334699327,,,-12.864447829205488,52.37984930984055
51,-1.4491079376287064,,,-13.040671784849058,53.25691708063431
52,-1.4481143899697781,,,-13.21427024013345,54.127851616469215
53,-1.4471210954162061,,,-13.385271039066682,54.992683588866555
54,-1.446128058892208,,,-13.553701749505837,55.851443570363486
55,-1.445135285323,,,-13.719589665894075,56.704162034458626
56,-1.4441427796346342,,,-13.882961811970207,57.550869355560096
57,-1.443150546753839,,,-14.043844943451079,58.391595808935904
58,-1.4421585916078563,,,-14.20226555068706,59.22637157066673
59,-1.4411669191242793,,,-14.358249861290886,60.055226717601094
60,-1.4401755342308917,,,-14.511823842740155,60.87819122731293
61,-1.439184441855505,,,-14.663013204953696,61.695294978061554
62,-1.4381936469257968,,,-14.811843402842124,62.50656774875401
63,-1.4372031543691477,,,-14.958339638832795,63.31203921890984
64,-1.43621296911248,,,-15.102526865369457,64.11173896862829
65,-1.4352230960820958,,,-15.24442978738682,64.90569647855786
66,-1.4342335402035127,,,-15.384072864760327,65.6939411298683
67,-1.4332443064013038,,,-15.521480314731342,66.47650220422507
68,-1.432255399598934,,,-15.656676114308034,67.25340888376604
69,-1.4312668247185978,,,-15.789684002642183,68.02469025108087
70,-1.430278586681057,,,-15.920527483382152,68.79037528919258
71,-1.4292906904054787,,,-16.049229827002282,69.55049288154164
72,-1.4283031408092726,,,-16.17581407310891,70.30507181197248
73,-1.4273159428079287,,,-16.300303032723292,71.0541407647224
74,-1.426329101314856,,,-16.422719290541625,71.79772832441292
75,-1.4253426212412192,,,-16.543085207172428,72.53586297604345
76,-1.4243565074957776,,,-16.661422921351473,73.2685731049876
77,-1.4233707649847227,,,-16.77775435213455,73.99588699699169
78,-1.4223853986115167,,,-16.892101201068215,74.71783283817578
79,-1.4214004132767308,,,-17.00448495433881,75.43443871503715
80,-1.420415813877884,,,-17.114926884899933,76.14573261445607
81,-1.4194316053092808,,,-17.223448054578594,76.85174242370415
82,-1.4184477924618513,,,-17.330069316160266,77.552495930455
83,-1.4174643802229894,,,-17.434811315453032,78.24802082279729
84,-1.416481373476392,,,-17.537694493331074,78.93834468925034
85,-1.4154987771018985,,,-17.63873908775765,79.623495018782
86,-1.414516595975331,,,-17.737965135787853,80.30349920082894
87,-1.4135348349683332,,,-17.835392475551256,80.97838452531944
88,-1.4125534989482111,,,-17.931040748214738,81.6481781826985
89,-1.4115725927777736,,,-18.02492939992562,82.31290726395538
90,-1.410592121315172,,,-18.117077683735364,82.97259876065353
91,-1.4096120894137423,,,-18.20750466150397,83.62727956496289
92,-1.4086325019218455,,,-18.296229205785355,84.27697646969463
93,-1.4076533636827095,,,-18.38327000169378,84.92171616833821
94,-1.4066746795342706,,,-18.46864554875167,85.56152525510088
95,-1.405696454309016,,,-18.55237416271886,86.19643022494951
96,-1.4047186928338262,,,-18.634473977403566,86.82645747365484
97,-1.4037413999298176,,,-18.714962946455238,87.451633297838
98,-1.402764580412186,,,-18.793858845139415,88.07198389501953
99,-1.40178823909005,,,-18.87117927209487,88.68753536367062
100,-1.4008123807662956,,,-18.94694165107314,89.29831370326681
101,-1.3998370102374194,,,-19.021163232660644,89.904344814344
102,-1.3988621322933747,,,-19.0938610959836,90.50565449855671
103,-1.397887751717416,,,-19.16505215039582,91.1022684587388
104,-1.3969138732859445,,,-19.234753137149696,91.69421229896652
105,-1.395940501768355,,,-19.302980631050414,92.28151152462371
106,-1.394967641926882,,,-19.36975104209363,92.8641915424695
107,-1.3939952985164463,,,-19.43508061708679,93.44227766070824
108,-1.3930234762845037,,,-19.498985441254206,94.01579508906177
109,-1.392052179970892,,,-19.561481439826085,94.58476893884387
110,-1.39108141430768,,,-19.62258437961169,95.14922422303711
111,-1.3901111840190166,,,-19.68230987055675,95.70918585637196
112,-1.3891414938209803,,,-19.740673367285297,96.26467865540813
113,-1.3881723484214292,,,-19.79769017062612,96.81572733861822
114,-1.387203752519852,,,-19.85337542912392,97.3623565264735
115,-1.386235710807219,,,-19.907744140535392,97.90459074153216
116,-1.3852682279658342,,,-19.96081115331036,98.44245440852954
117,-1.384301308669187,,,-20.012591168058076,98.97597185447083
118,-1.3833349575818066,,,-20.06309873899891,99.50516730872573
119,-1.382369179359114,,,-20.112348275401512,100.03006490312559
120,-1.3814039786472774,,,-20.160354043005636,100.55068867206253
121,-1.3804393600830664,,,-20.207130165430737,101.0670625525909
122,-1.3794753282937082,,,-20.25269062557052,101.57921038453075
123,-1.378511887896743,,,-20.29704926697354,102.08715591057371
124,-1.3775490434998812,,,-20.34021979521005,102.59092277639083
125,-1.3765867997008605,,,-20.382215779225167,103.0905345307426
126,-1.3756251610873047,,,-20.42305065267857,103.58601462559125
127,-1.3746641322365822,,,-20.462737715270794,104.07738641621494
128,-1.3737037177156652,,,-20.501290134056323,104.56467316132434
129,-1.3727439220809907,,,-20.53872094474354,105.04789802318112
130,-1.3717847498783207,,,-20.575043052981755,105.52708406771856
131,-1.3708262056426044,,,-20.61026923563536,106.00225426466437
132,-1.3698682938978404,,,-20.644412142045297,106.47343148766544
133,-1.36891101915694,,,-20.677484295277928,106.94063851441469
134,-1.3679543859215912,,,-20.709498093361482,107.40389802678006
135,-1.366998398682123,,,-20.74046581051015,107.86323261093544
136,-1.3660430619173713,,,-20.770399598335985,108.31866475749362
137,-1.365088380094545,,,-20.799311487048737,108.77021686164136
138,-1.3641343576690932,,,-20.827213386643717,109.21791122327633
139,-1.3631809990845725,,,-20.854117088077828,109.66177004714616
140,-1.3622283087725164,,,-20.880034264433906,110.1018154429894
141,-1.3612762911523042,,,-20.90497647207342,110.53806942567842
142,-1.3603249506310318,,,-20.92895515177774,110.97055391536433
143,-1.3593742916033822,,,-20.951981629877995,111.39929073762384
144,-1.358424318451498,,,-20.974067119373743,111.82430162360798
145,-1.357475035544854,,,-20.995222721040438,112.24560821019277
146,-1.356526447240131,,,-21.01545942452594,112.66323204013182
147,-1.3555785578810904,,,-21.03478810943606,113.07719456221075
148,-1.354631371798449,,,-21.053219546409363,113.48751713140358
149,-1.3536848933097565,,,-21.070764398181215,113.89422100903084
150,-1.3527391267192714,,,-21.08743322063731,114.29732736291969
151,-1.35179407631784,,,-21.103236463856682,114.69685726756572
152,-1.350849746382775,,,-21.118184473144375,115.09283170429667
153,-1.3499061411777358,,,-21.132287490053823,115.48527156143793
154,-1.3489632649526084,,,-21.145555653399093,115.8741976344798
155,-1.3480211219433884,,,-21.157999000257064,116.25963062624655
156,-1.3470797163720627,,,-21.169627466959643,116.64159114706725
157,-1.3461390524464936,,,-21.180450890076134,117.02009971494829
158,-1.3451991343603031,,,-21.19047900738586,117.39517675574776
159,-1.3442599662927588,,,-21.199721458841115,117.76684260335136
160,-1.34332155240866,,,-21.208187787520565,118.13511749985022
161,-1.342383896858225,,,-21.215887440573187,118.50002159572018
162,-1.3414470037769803,,,-21.222829770152856,118.86157495000298
163,-1.3405108772856493,,,-21.229024034343627,119.21979753048892
164,-1.3395755214900427,,,-21.23447939807588,119.57470921390129
165,-1.3386409404809498,,,-21.239204934033353,119.9263297860823
166,-1.3377071383340318,,,-21.243209623551206,120.27467894218081
167,-1.3367741191097136,,,-21.24650235750516,120.61977628684139
168,-1.3358418868530795,,,-21.249091937191857,120.96164133439522
169,-1.3349104455937677,,,-21.250987075200452,121.30029350905245
170,-1.3339797993458673,,,-21.252196396275625,121.63575214509602
171,-1.3330499521078152,,,-21.25272843817201,121.9680364870772
172,-1.3321209078622946,,,-21.252591652500186,122.2971656900125
173,-1.331192670576135,,,-21.25179440556428,122.62315881958217
174,-1.330265244200212,,,-21.250344979191286,122.94603485233011
175,-1.3293386326693495,,,-21.248251571552196,123.2658126758653
176,-1.3284128399022213,,,-21.245522297974976,123.58251108906472
177,-1.3274878698012558,,,-21.242165191749535,123.89614880227764
178,-1.3265637262525398,,,-21.238188204924718,124.20674443753136
179,-1.3256404131257251,,,-21.23359920909743,124.51431652873835
180,-1.3247179342739344,,,-21.228405996193953,124.81888352190482
181,-1.3237962935336696,,,-21.22261627924356,125.12046377534061
182,-1.322875494724721,,,-21.21623769314447,125.4190755598705
183,-1.3219555416500766,,,-21.209277795422263,125.7147370590468
184,-1.3210364380958337,,,-21.201744066980776,126.00746636936329
185,-1.320118187831111,,,-21.193643912845623,126.29728150047049
186,-1.3192007946079616,,,-21.184984662900355,126.5842003753922
187,-1.3182842621612874,,,-21.175773572615377,126.86824083074335
188,-1.3173685942087543,,,-21.166017823769657,127.14942061694903
189,-1.3164537944507093,,,-21.155724525165336,127.4277573984649
190,-1.3155398665700975,,,-21.14490071333529,127.70326875399871
191,-1.3146268142323807,,,-21.133553353243716,127.97597217673304
192,-1.3137146410854579,,,-21.121689338979824,128.24588507454934
193,-1.312803350759585,,,-21.10931549444469,128.51302477025297
194,-1.3118929468672984,,,-21.09643857403136,128.77740850179967
195,-1.3109834330033363,,,-21.083065263298238,129.03905342252284
196,-1.310074812744564,,,-21.06920217963587,129.29797660136225
197,-1.309167089649899,,,-21.054855872927153,129.55419502309368
198,-1.308260267260237,,,-21.040032826201067,129.8077255885597
199,-1.3073543490983799,,,-21.024739456279967,130.05858511490155
200,-1.3064493386689642,,,-21.008982114420515,130.30679033579216
201,-1.3055452394583906,,,-20.992767086948316,130.55235790167
202,-1.3046420549347555,,,-20.976100595886326,130.79530437997417
203,-1.3037397885477817,,,-20.958988799577078,131.0356462553804
204,-1.302838443728753,,,-20.941437793298807,131.27339993003812
205,-1.301938023890447,,,-20.923453609875533,131.50858172380833
206,-1.3010385324270715,,,-20.90504222028114,131.74120787450278
207,-1.3001399727142002,,,-20.886209534237548,131.97129453812366
208,-1.299242348108711,,,-20.866961400807014,132.1988577891046
209,-1.298345661948724,,,-20.84730360897863,132.42391362055236
210,-1.2974499175535412,,,-20.827241888249063,132.64647794448948
211,-1.2965551182235882,,,-20.806781909197614,132.86656659209788
212,-1.2956612672403558,,,-20.78592928405565,133.0841953139632
213,-1.2947683678663429,,,-20.76468956727046,133.29937978032007
214,-1.2938764233450013,,,-20.743068256063562,133.51213558129822
215,-1.2929854369006808,,,-20.72107079098362,133.72247822716935
216,-1.2920954117385757,,,-20.69870255645386,133.93042314859483
217,-1.2912063510446723,,,-20.675968881314205,134.1359856968742
218,-1.2903182579856984,,,-20.652875039358086,134.3391811441944
219,-1.2894311357090726,,,-20.629426249864007,134.54002468387986
220,-1.288544987342855,,,-20.605627678121902,134.73853143064304
221,-1.2876598159956998,,,-20.58148443595439,134.93471642083605
222,-1.2867756247568087,,,-20.557001582232914,135.12859461270284
223,-1.2858924166958847,,,-20.532184123388838,135.3201808866319
224,-1.2850101948630879,,,-20.507037013919582,135.50949004540985
225,-1.2841289622889918,,,-20.481565156889808,135.69653681447556
226,-1.2832487219845414,,,-20.45577340442771,135.8813358421751
227,-1.2823694769410119,,,-20.429666558216486,136.06390170001697
228,-1.2814912301299684,,,-20.403249369981015,136.24424888292828
229,-1.2806139845032265,,,-20.376526541969795,136.42239180951134
230,-1.2797377429928154,,,-20.34950272743217,136.59834482230085
231,-1.2788625085109406,,,-20.322182531090952,136.77212218802163
232,-1.277988283949948,,,-20.294570509610406,136.943738097847
233,-1.2771150721822893,,,-20.266671172059706,137.11320666765755
234,-1.2762428760604891,,,-20.23848898037189,137.2805419383006
235,-1.2753716984171122,,,-20.21002834979832,137.44575787584984
