t,theta_history,theta_dot_history,theta_ddot_history,m_history,v_history
0,-1.5,,,0.0,0.0
1,-1.490000000002857,,,-0.3500000000000003,1.225000000000001
2,-1.4800015230172876,,,-0.6871718400026452,2.384348025707877
3,-1.4700056207301047,,,-1.0117882296700387,3.480807335583343
4,-1.4600133719323625,,,-1.3241190704945438,4.517058318672716
5,-1.4500258823210708,,,-1.6244314495776688,5.495699671622466
6,-1.440044284235878,,,-1.9129896324616165,6.419249596040012
7,-1.430069736328153,,,-2.1900550550394273,7.290147015841076
8,-1.4201034231600604,,,-2.455886314573587,8.110752814170574
9,-1.4101465547314431,,,-2.710739159857026,8.883351089429507
10,-1.4002003659325364,,,-2.954866480554623,9.610150429883923
11,-1.3902661159208176,,,-3.188518295767592,10.293285206273806
12,-1.380345087420571,,,-3.411941741867469,10.934816881780003
13,-1.370438585944069,,,-3.625381059650804,11.536735338646409
14,-1.3605479389336153,,,-3.8290775808700457,12.100960220692647
15,-1.350674494824059,,,-4.023269714200499,12.629342290889994
16,-1.3408196220257913,,,-4.208192930707547,13.123664803110504
17,-1.3309847078286383,,,-4.3840797488825896,13.585644887096628
18,-1.3211711572275089,,,-4.55115971932025,14.016934945636514
19,-1.311380391671098,,,-4.709659409113378,14.41912406286907
20,-1.3016138477354122,,,-4.859802386046148,14.793739422583135
21,-1.2918729757243541,,,-5.001809202669036,15.14224773531738
22,-1.282159238200078,,,-5.135897380342771,15.46605667301212
23,-1.2724741084463083,,,-5.262281393341244,15.766516309911712
24,-1.262819068868283,,,-5.381172653105943,16.04492056836701
25,-1.2531956093334482,,,-5.492779492746718,16.302508668142103
26,-1.2436052254574828,,,-5.59730715188539,16.540466577788347
27,-1.234049416840661,,,-5.694957761940084,16.759928466612667
28,-1.2245296852599732,,,-5.7859303319489666,16.96197815573569
29,-1.2150475328227979,,,-5.870420735032416,17.147650566709984
30,-1.2056044600882758,,,-5.948621695592422,17.317933166148833
31,-1.196201964162836,,,-6.020722777347285,17.473767404802707
32,-1.1868415367765992,,,-6.086910372298357,17.616050149513597
33,-1.1775246623476034,,,-6.147367690723708,17.74563510647724
34,-1.1682528160409744,,,-6.202274752291145,17.863334234249873
35,-1.1590274618302843,,,-6.251808378380049,17.969919144949813
36,-1.149850050568418,,,-6.296142185697888,18.06612249212483
37,-1.1407220180752768,,,-6.33544658127325,18.152639343783754
38,-1.1316447832496201,,,-6.369888758902592,18.230128539125335
39,-1.1226197462122403,,,-6.39963269712285,18.29921402753845
40,-1.1136482864875317,,,-6.424839158776521,18.360486188495496
41,-1.1047317612303034,,,-6.445665692229868,18.41450313101451
42,-1.095871503504437,,,-6.462266634298591,18.461791971425384
43,-1.0870688206196903,,,-6.474793114928656,18.502850088240653
44,-1.0783249925326,,,-6.483393063673043,18.53814635300138
45,-1.0696412703170506,,,-6.488211217998011,18.568122336043494
46,-1.0610188747096498,,,-6.48938913344517,18.593193486208435
47,-1.0524589947345915,,,-6.487065195668172,18.61375028360405
48,-1.0439627864122059,,,-6.481374634355357,18.63015936460661
49,-1.0355313715548826,,,-6.472449539042131,18.6427646183819
50,-1.0271658366535301,,,-6.46041887680942,18.651888254292047
51,-1.018867231857197,,,-6.4454085118571625,18.657831839644516
52,-1.0106365700479332,,,-6.427541226934579,18.66087730732988
53,-1.0024748260124308,,,-6.406936746601972,18.661287932984784
54,-0.9943829357114348,,,-6.383711762292035,18.659309281405807
55,-0.9863617956473893,,,-6.357979959132179,18.65517012202769
56,-0.9784122623302636,,,-6.329852044483283,18.649083313365374
